LATITUDE,LONGITUDE
40.8156907,-73.9582947
40.8025617,-73.9429917
40.6821713,-73.8310359
40.7419703,-73.9808593
40.7216784,-73.8359648
40.8797004,-73.8357304
40.5439115,-74.1623899
40.634356,-73.9106696
40.7533873,-73.996304
40.6450318,-73.9199775
40.6913591,-73.8375359
40.6671159,-73.8346499
40.6724706,-73.7998667
40.7472174,-73.8153738
40.8305356,-73.9157
40.7686469,-73.9698262
40.7697502,-73.9606016
40.5754516,-73.9953816
40.655593,-73.9471574
40.5649742,-74.1332986
40.7768624,-73.8216716
40.6687847,-73.9478174
40.7141217,-73.8315084
40.6156433,-74.0672834
40.6205477,-74.1691863
40.6454575,-74.0063674
40.7338001,-73.8148012
40.7545534,-73.7431647
40.8654483,-73.8663413
40.8063462,-73.9331715
40.8427518,-73.9228189
40.6902856,-73.7913825
40.6783423,-73.9551972
40.7471367,-73.8924084
40.6063279,-73.9964634
40.6914169,-73.7579406
40.6578369,-73.9503273
40.7577266,-73.7792633
40.7501786,-74.0060706
40.6015794,-73.9978249
40.673149,-74.0124409
40.8230774,-73.8917906
40.8537088,-73.8718573
40.5883211,-73.9852203
40.7219864,-73.9855153
40.8687708,-73.8317333
40.7419843,-73.8611867
40.8627501,-73.9049326
40.7748619,-73.9089033
40.6489241,-73.9493717
40.6215643,-74.1684829
40.7671496,-73.7926833
40.6553404,-73.960698
40.6421201,-74.0752374
40.6664063,-73.8026224
40.6279648,-73.9162405
